"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x938098012416630785","x1368571499976744964",2021-03-07 14:37:27,"Rodrigo01061982","@lupoesia77 #FelizAniversário #Vacina #ImpeachmentBolsonaroEMourão #ForaBolsonaroEMourão","Twitter Web App",76,"x1368412303423647746","x895227350744543233","lupoesia77",FALSE,FALSE,0,0,,,"FelizAniversário Vacina ImpeachmentBolsonaroEMourão ForaBolsonaroEMourão",,,,,,,,,,,,,"x895227350744543233","lupoesia77","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Rodrigo01061982/status/1368571499976744964","Rodrigo Miranda Silveira","","",,FALSE,300,562,0,3973,25951,2017-12-05 17:29:29,FALSE,,,,,,"http://pbs.twimg.com/profile_images/988793193339785218/bxhVwyu4_normal.jpg"
"x90889942","x1368570541221814273",2021-03-07 14:33:38,"helitonmonteiro","Resultado da #vacina https://t.co/bjCKUSF4YJ","Twitter for Android",20,,,,TRUE,FALSE,0,0,,,"vacina",,"twitter.com/o_antagonista/…","https://t.co/bjCKUSF4YJ","https://twitter.com/o_antagonista/status/1368542478912135169",,,,,,,,,,,"pt","x1368542478912135169","Covid-19: mortes de idosos acima de 90 anos caem 70% em SP
https://t.co/YI7PS7T7F4",2021-03-07 12:42:07,"Twitter Web App",629,75,"x2880932962","o_antagonista","O Antagonista",1323408,989,164500,"","ASSINE A CRUSOÉ E O ANTAGONISTA+: https://t.co/X7YgqjpeTM",TRUE,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/40a0765b1a67431e.json","Arapongas","Arapongas, Brasil","city","Brazil","BR","NA NA","NA NA","-51.59544 -51.300761 -51.300761 -51.59544 -23.550119 -23.550119 -23.341448 -23.341448","https://twitter.com/helitonmonteiro/status/1368570541221814273","Close de xeca meu amô (em🏡)","Paraná, Brasil","","https://t.co/u2gbAL0mLv",FALSE,177,129,1,2525,11535,2009-11-18 15:16:57,FALSE,"https://t.co/u2gbAL0mLv","https://www.instagram.com/instaheliton/",,"https://pbs.twimg.com/profile_banners/90889942/1613357278","http://abs.twimg.com/images/themes/theme7/bg.gif","http://pbs.twimg.com/profile_images/1368421763042926593/1mJjpVPj_normal.jpg"
"x2865289833","x1368562073010069511",2021-03-07 13:59:59,"2020_acabou","Ai gente, eu chorei! 🥺 ❤️🙏🏼#vacina https://t.co/nmFP2A7WZJ","Twitter for Android",34,,,,FALSE,FALSE,12,0,,,"vacina",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1368561961223479298/pu/img/mRIHybubUO6qz5a1.jpg","https://t.co/nmFP2A7WZJ","https://twitter.com/2020_acabou/status/1368562073010069511/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1368561961223479298/pu/img/mRIHybubUO6qz5a1.jpg","https://t.co/nmFP2A7WZJ","https://twitter.com/2020_acabou/status/1368562073010069511/video/1",,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/2020_acabou/status/1368562073010069511","garoto enxaqueca","Brasil","",,FALSE,5071,1494,1,16288,32348,2014-11-07 08:05:50,FALSE,,,,"https://pbs.twimg.com/profile_banners/2865289833/1612831209","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1368521310343753732/Ixjgnalq_normal.jpg"
"x1211803902477123584","x1368555696892088322",2021-03-07 13:34:39,"indexsay","Inveja dos idosos que são vacinados... e é isso!! #vacina #VacinaEImpeachment","Twitter for Android",77,,,,FALSE,FALSE,3,0,,,"vacina VacinaEImpeachment",,,,,,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/indexsay/status/1368555696892088322","Index","","eu tô tremendo rosana",,FALSE,27,114,0,728,1227,2019-12-31 00:19:15,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1211804299501723648/9rrKw_0g_normal.jpg"
"x1057671191975092225","x1368553870264307716",2021-03-07 13:27:23,"RenataTemps","@lupoesia77 Feliz aniversário! 🎈🎊🎁 #vacina #impeachment","Twitter for iPhone",43,"x1368412303423647746","x895227350744543233","lupoesia77",FALSE,FALSE,1,0,,,"vacina impeachment",,,,,,,,,,,,,"x895227350744543233","lupoesia77","pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RenataTemps/status/1368553870264307716","Renata Temps","Georgia, USA","",,FALSE,88,477,0,436,2391,2018-10-31 16:30:37,FALSE,,,,"https://pbs.twimg.com/profile_banners/1057671191975092225/1610019039",,"http://pbs.twimg.com/profile_images/1324802097108365312/eckIa8tx_normal.jpg"
"x868127218362462208","x1368547405361217537",2021-03-07 13:01:42,"butantanoficial","Mais uma de nossas colaboradoras, a copeira Antonia Araujo dá sentido ao que é vestir a camisa de uma empresa. O envolvimento dos funcionários ajuda o Butantan a vencer seus desafios todos os anos. Veja o vídeo. #Vacina #Podeconfiar #ÉdoButantan #VacinadoButantan #Butantan120Anos https://t.co/zPh53lZQzg","mLabs - Gestão de Redes Sociais",280,,,,FALSE,FALSE,157,13,,,"Vacina Podeconfiar ÉdoButantan VacinadoButantan Butantan120Anos",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1368547324327325701/pu/img/kW7rGxijtlGJPYED.jpg","https://t.co/zPh53lZQzg","https://twitter.com/butantanoficial/status/1368547405361217537/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1368547324327325701/pu/img/kW7rGxijtlGJPYED.jpg","https://t.co/zPh53lZQzg","https://twitter.com/butantanoficial/status/1368547405361217537/video/1",,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/butantanoficial/status/1368547405361217537","Instituto Butantan","São Paulo, Brasil","Perfil oficial do Instituto Butantan","https://t.co/jIL7uTdZcv",FALSE,145711,69,232,15165,6762,2017-05-26 15:30:32,TRUE,"https://t.co/jIL7uTdZcv","http://www.butantan.gov.br",,"https://pbs.twimg.com/profile_banners/868127218362462208/1610118442","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1349786271850369031/u4sZERnW_normal.jpg"
"x1188058413550489601","x1368544619399700484",2021-03-07 12:50:38,"odanbrito","Use a música para tirar os efeitos da pandemia da sua mente. Conheça minhas composições e ajude a alcançar mais pessoas.

↪https://t.co/bh6zZ2af45

#bomdia #brasil #vacina #pandemia #saude #domingodetremurasdv #vida #mente #pessoas #rock #boamúsica","Twitter for Android",248,,,,FALSE,FALSE,1,1,,,"bomdia brasil vacina pandemia saude domingodetremurasdv vida mente pessoas rock boamúsica",,"fabricadocompositor.com.br/brito-filho","https://t.co/bh6zZ2af45","http://fabricadocompositor.com.br/brito-filho",,,,,,,,,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/odanbrito/status/1368544619399700484","Brito Filho","","Compositor de rock alternativo e jingles. https://t.co/QKnPgeCKbF","https://t.co/5ap8kaqddc",FALSE,136,70,0,132,117,2019-10-26 11:43:06,FALSE,"https://t.co/5ap8kaqddc","https://www.fabricadocompositor.com.br/brito-filho",,"https://pbs.twimg.com/profile_banners/1188058413550489601/1615122622",,"http://pbs.twimg.com/profile_images/1363267971494330380/_GIRFHcs_normal.jpg"
"x40064272","x1368544184420990976",2021-03-07 12:48:54,"netoazevedo","Bom dia a todos na paz do Senhor Jesus Cristo 🙏🏽🙏🏽🙏🏽

Minha mãe tomou a #Vacina 💉 hoje 👏🏽👏🏽👏🏽👏🏽👏🏽

@prefeiturabelem
@EdmilsonPSOL
#VacinaJa
#VacinaParaTodos 
#VivaOSUS https://t.co/Ew7M4b2PB1","Twitter for Android",167,,,,FALSE,FALSE,30,1,,,"Vacina VacinaJa VacinaParaTodos VivaOSUS",,,,,"http://pbs.twimg.com/media/Ev4LrqpXMAAVKow.jpg","https://t.co/Ew7M4b2PB1","https://twitter.com/netoazevedo/status/1368544184420990976/photo/1","photo","http://pbs.twimg.com/media/Ev4LrqpXMAAVKow.jpg","https://t.co/Ew7M4b2PB1","https://twitter.com/netoazevedo/status/1368544184420990976/photo/1",,"x1934139290 x183634894","prefeiturabelem EdmilsonPSOL","pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/f3587bc643e7d7b8.json","Belém","Belém, Brazil","city","Brazil","BR","NA NA","NA NA","-48.623684 -48.295911 -48.295911 -48.623684 -1.526453 -1.526453 -1.019406 -1.019406","https://twitter.com/netoazevedo/status/1368544184420990976","Neto Azevedo 🍟","Belém, Pará","Operador de Câmera 🎥 Empresa G2
 Comunicações... Acima de tudo torcedor do Paysandu Sport Club",,FALSE,1092,2464,4,36589,130442,2009-05-14 19:16:22,FALSE,,,,"https://pbs.twimg.com/profile_banners/40064272/1506828346","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1356776605713055744/CjyohQ85_normal.jpg"
"x768218810885210112","x1368540892907311106",2021-03-07 12:35:49,"SoOmbrelones","Conheça a Luminária pra Ombrelone que temos a pronta entrega... charmosa, toda em Led..
https://t.co/NHxm92l7T6

#ombrelone #ombrelones #soombrelones #lazer #piscina #forbes #iate #verão #casa #guardasol #americanas #mercadolivre #decoração #decor #vacina #calor #sombra #toldo https://t.co/Tb6broycvT","mLabs - Gestão de Redes Sociais",277,,,,FALSE,FALSE,0,0,,,"ombrelone ombrelones soombrelones lazer piscina forbes iate verão casa guardasol americanas mercadolivre decoração decor vacina calor sombra toldo",,"bit.ly/3nUl5f5","https://t.co/NHxm92l7T6","https://bit.ly/3nUl5f5","http://pbs.twimg.com/media/Ev4IsHFXIAAV6o3.jpg","https://t.co/Tb6broycvT","https://twitter.com/SoOmbrelones/status/1368540892907311106/photo/1","photo","http://pbs.twimg.com/media/Ev4IsHFXIAAV6o3.jpg http://pbs.twimg.com/media/Ev4IsG2XMAMT9h8.jpg","https://t.co/Tb6broycvT https://t.co/Tb6broycvT","https://twitter.com/SoOmbrelones/status/1368540892907311106/photo/1 https://twitter.com/SoOmbrelones/status/1368540892907311106/photo/1",,,,"pt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SoOmbrelones/status/1368540892907311106","SóOmbrelones","","","https://t.co/gStaofBcMC",FALSE,14,77,0,464,13,2016-08-23 22:50:12,FALSE,"https://t.co/gStaofBcMC","http://www.soombrelones.com.br",,"https://pbs.twimg.com/profile_banners/768218810885210112/1606150648","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1130151671881981952/HwEJxhCZ_normal.png"
"x100622372","x1368534431271686148",2021-03-07 12:10:09,"MCrisLemos","Essa cena mostra o qto o Programa Nacional de Imunizações é abrangente, consegue chegar a todo lugar, basta dar a sua “matéria prima”, vacinas !!! 👏🏻👏🏻👏🏻 #PNI #vacina #temquevacinar #sóvem #covid #FicaEmCasa https://t.co/m5pupGjWBj","Twitter for iPhone",207,,,,TRUE,FALSE,1,0,,,"PNI vacina temquevacinar sóvem covid FicaEmCasa",,"twitter.com/hilde_angel/st…","https://t.co/m5pupGjWBj","https://twitter.com/hilde_angel/status/1368397538349449220",,,,,,,,,,,"pt","x1368397538349449220","Essa expressiva foto aqui dedico ao @xicosa , embaixador do agreste no Twitter (desconheço o autor) https://t.co/CnH1luUHx9",2021-03-07 03:06:11,"Twitter for iPhone",3120,320,"x174396298","hilde_angel","Hildegard Angel",108840,2769,44988,"Rio de Janeiro, RJ","Jornalista. Presidenta de Academia Brasileira da Moda e Instituto Zuzu Angel 🤗Feliz com a companhia de meu irmão, Stuart Angel, acima, inspirando resistência",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MCrisLemos/status/1368534431271686148","Cristina Lemos","Rio de Janeiro, Brasil","Servidora Pública Municipal, carioca, leonina e tricolor!! 🆑😊🙏🏻❤️🦁♌️🇭🇺",,FALSE,583,644,60,24403,139426,2009-12-30 23:21:55,FALSE,,,,"https://pbs.twimg.com/profile_banners/100622372/1610410694","http://abs.twimg.com/images/themes/theme3/bg.gif","http://pbs.twimg.com/profile_images/1362931337427042304/PPLbVvpS_normal.jpg"
